gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
461956653																																																											SANBI	PRECIS			PreservedSpecimen					PRE0405244-0		Lewis G.J.																																	1950	8	23																SOUTH AFRICA					Not available																			-31.3750000	19.1250000																																														Heliophila thunbergii var. thunbergii												BRASSICACEAE	Heliophila		thunbergii									
461956667																																																											SANBI	PRECIS			PreservedSpecimen					NBG0183835-0		Oliver E.G.H.; Oliver I.M.																																	1998	10	9																SOUTH AFRICA					Not available																			-34.1250000	19.8750000																																	Cupido,C.N.													Heliophila tricuspidata												BRASSICACEAE	Heliophila		tricuspidata									
461956686																																																											SANBI	PRECIS			PreservedSpecimen					PRE0405227-0		Mostert J.																																	1961	8	8																SOUTH AFRICA					Not available																			-28.6250000	21.1250000																																	Van Vuuren J													Heliophila trifurca												BRASSICACEAE	Heliophila		trifurca									
461956694																																																											SANBI	PRECIS			PreservedSpecimen					PRE0405235-0		Acocks J.P.H.																																	1938	5	28																SOUTH AFRICA					Not available																																																																		Heliophila trifurca												BRASSICACEAE	Heliophila		trifurca									
461956700																																																											SANBI	PRECIS			PreservedSpecimen					PRE0461309-0		Giess J.W.H.; Muller M.A.N.																																	1972	5	17																NAMIBIA					Not available																			-27.3750000	18.3750000																																														Heliophila trifurca												BRASSICACEAE	Heliophila		trifurca									
461956729																																																											SANBI	PRECIS			PreservedSpecimen					PRE0773437-0		Van Wyk A.E.																																	1989	6	22																NAMIBIA					Not available																			-28.8750000	18.3750000																																														Heliophila trifurca												BRASSICACEAE	Heliophila		trifurca									
461956740																																																											SANBI	PRECIS			PreservedSpecimen					NBG0175961-0		Reid C.																																	1991	10	2																SOUTH AFRICA					Not available																			-29.1250000	16.8750000																																	Dreyer,L.L.													Heliophila trifurca												BRASSICACEAE	Heliophila		trifurca									
461956777																																																											SANBI	PRECIS			PreservedSpecimen					PRE0403940-0		Esterhuysen E.E.																																	1941	8	24																SOUTH AFRICA					Not available																																																																		Heliophila variabilis												BRASSICACEAE	Heliophila		variabilis									
461956823																																																											SANBI	PRECIS			PreservedSpecimen					PRE0714686-0		Germishuizen G.																																	1987	9	1																SOUTH AFRICA					Not available																			-28.6250000	17.3750000																																														Heliophila variabilis												BRASSICACEAE	Heliophila		variabilis									
574645048																										http://data.rbge.org.uk/herb/E00199813													2009-02-16 00:00:00															PhysicalObject			http://biocol.org/urn:lsid:biocol.org:col:15670		E	E	Royal Botanic Garden Edinburgh Herbarium	E	PreservedSpecimen				http://data.rbge.org.uk/herb/E00199813	E00199813		Gibson, J. (Mrs)				not recorded						herbarium specimen of unspecified type						BGBASE:207282													November 1973		319					November 1973										Southern Africa					ZA																										degrees minutes seconds																																													Heliophila scandens Harv.												Cruciferae	Heliophila		scandens						ICBN			
