life_history,species,decimalLatitude,decimalLongitude,Winter,Spring,Summer,Autumn,src
A,Heliophila acuminata,-24.875,30.125,0.412313177019059,0.428146363440481,0.239450500479912,0.206636500754148,GRIDREF
A,Heliophila acuminata,-31.375,18.875,0.213179590017825,0.282068911480676,0.228292540792541,0.245166598107775,GRIDREF
A,Heliophila acuminata,-31.375,19.125,0.336812697106815,0.449730661495367,0.542168003565062,0.473810503222268,GRIDREF
A,Heliophila acuminata,-31.375,19.875,0.34156040038393,0.506013594248888,0.512049225284519,0.510695187165775,GRIDREF
A,Heliophila acuminata,-31.625,20.125,0.361099684629096,0.422816399286987,0.574926299191005,0.497806115453174,GRIDREF
A,Heliophila acuminata,-32.125,18.375,0.194784382284382,0.18675442204854,0.304949952008776,0.262100644453586,GRIDREF
A,Heliophila acuminata,-32.375,18.875,0.307255244755245,0.371931989579048,0.356206293706294,0.346907993966818,GRIDREF
A,Heliophila acuminata,-32.625,18.875,0.333114801864802,0.460852872617579,0.30015511449335,0.236733854380913,GRIDREF
A,Heliophila acuminata,-32.875,18.625,0.297785547785548,0.343891402714932,0.373277457836281,0.328877005347594,GRIDREF
A,Heliophila acuminata,-32.875,18.875,0.267701048951049,0.291580968051556,0.487933634992459,0.381461675579323,GRIDREF
A,Heliophila acuminata,-32.375,20.375,0.329494035376388,0.397469197469197,0.526292335115865,0.252022487316605,GRIDREF
A,Heliophila acuminata,-33.125,18.125,0.180006455868525,0.0618605532398636,0.126954708519695,0.227346217001389,GRIDREF
A,Heliophila acuminata,-33.375,18.375,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,GRIDREF
A,Heliophila acuminata,-33.125,18.625,0.314248251748252,0.357877416700946,0.461637014945839,0.462772521596051,GRIDREF
A,Heliophila acuminata,-33.125,18.875,0.274621212121212,0.469354175236528,0.407544049088167,0.339709310297546,GRIDREF
A,Heliophila acuminata,-33.375,18.625,0.255754662004662,0.332990538872892,0.479676573426573,0.475044563279857,GRIDREF
A,Heliophila acuminata,-33.625,18.875,0.441215034965035,0.471548059783354,0.214645036336213,0.173728232551762,GRIDREF
A,Heliophila acuminata,-33.625,19.625,0.537218908542438,0.401445613210319,0.363057897984369,0.47333059097765,GRIDREF
A,Heliophila acuminata,-33.875,19.625,0.248834498834499,0.421431509666804,0.720198306595365,0.517893870835047,GRIDREF
A,Heliophila africana,-30.625,17.625,0.466530405868641,0.408450373156256,0.497416186754422,0.361236802413273,GRIDREF
A,Heliophila africana,-30.875,30.125,0.222747840394899,0.332653620888915,0.172836966954614,0.141985465514877,GRIDREF
A,Heliophila africana,-31.375,18.625,0.560486082544906,0.462292609351433,0.392319690113808,0.420540244069656,GRIDREF
A,Heliophila africana,-31.625,18.875,0.204545454545455,0.184286301933361,0.267726758535582,0.279857397504456,GRIDREF
A,Heliophila africana,-32.875,17.875,0.356411970382559,0.446604376016141,0.40166940902235,0.409159467982997,GRIDREF
A,Heliophila africana,-32.125,18.375,0.194784382284382,0.18675442204854,0.304949952008776,0.262100644453586,GRIDREF
A,Heliophila africana,-32.125,18.625,0.218021561771562,0.389551624845742,0.401343754284931,0.3059783353901,GRIDREF
A,Heliophila africana,-32.125,18.875,0.279428904428904,0.223090634855341,0.237479432332374,0.249897161661868,GRIDREF
A,Heliophila africana,-32.375,18.875,0.307255244755245,0.371931989579048,0.356206293706294,0.346907993966818,GRIDREF
A,Heliophila africana,-32.625,18.375,0.363417832167832,0.494515288632936,0.246662038941451,0.313108460167284,GRIDREF
A,Heliophila africana,-32.875,18.625,0.297785547785548,0.343891402714932,0.373277457836281,0.328877005347594,GRIDREF
A,Heliophila africana,-32.125,19.125,0.511217948717949,0.526189496777732,0.549156725627314,0.411559029206088,GRIDREF
A,Heliophila africana,-32.375,19.125,0.342948717948718,0.329768270944742,0.204956807897984,0.262649115590292,GRIDREF
A,Heliophila africana,-32.625,19.125,0.307255244755245,0.392431098313451,0.256341697518168,0.262169203345674,GRIDREF
A,Heliophila africana,-32.875,19.625,0.3632764294529,0.356478815302345,0.341213320992733,0.283148224324695,GRIDREF
A,Heliophila africana,-33.125,18.125,0.180006455868525,0.0618605532398636,0.126954708519695,0.227346217001389,GRIDREF
A,Heliophila africana,-33.125,18.375,0.342657342657343,0.29343205813794,0.474431818181818,0.398464280817222,GRIDREF
A,Heliophila africana,-33.375,18.375,0.338141025641026,0.396270396270396,0.454099821746881,0.535239270533388,GRIDREF
A,Heliophila africana,-33.375,18.625,0.255754662004662,0.332990538872892,0.479676573426573,0.475044563279857,GRIDREF
A,Heliophila africana,-33.625,18.375,0.263792401723436,0.232663887836302,0.0991253809556197,0.320891751926235,GRIDREF
A,Heliophila africana,-33.62517,18.37517,0.263792401723436,0.232663887836302,0.0991253809556197,0.320891751926235,GRIDREF
A,Heliophila africana,-33.6257,18.3757,0.263792401723436,0.232663887836302,0.0991253809556197,0.320891751926235,GRIDREF
A,Heliophila africana,-33.875,18.375,0.57133032995102,0.545282303902994,0.506594054339412,0.485455349248453,GRIDREF
A,Heliophila africana,-33.625,18.625,0.312281468531469,0.430412724530372,0.354809406279995,0.333539010009598,GRIDREF
A,Heliophila africana,-33.625,18.875,0.441215034965035,0.471548059783354,0.214645036336213,0.173728232551762,GRIDREF
A,Heliophila africana,-33.875,18.625,0.330929487179487,0.362265185794598,0.291688091320444,0.330111065405183,GRIDREF
A,Heliophila africana,-33.87518,18.62518,0.330929487179487,0.362265185794598,0.291688091320444,0.330111065405183,GRIDREF
