CLASS,TAXNAME,GRIDREF,LatDec,LongDec,
A,Heliophila minima,3123BA,31.125,23.625,
A,Heliophila minima,3123BC,31.375,23.625,
A,Heliophila minima,3124CD,31.875,24.375,
A,Heliophila minima,3125AC,31.375,25.125,
A,Heliophila minima,3125DB,31.625,25.875,
A,Heliophila minima,3221BB,32.125,21.875,
A,Heliophila minima,3222BC,32.375,22.625,
A,Heliophila minima,3222DC,32.875,22.625,
A,Heliophila minima,3228CC,32.875,28.125,
A,Heliophila minima,3420AA,34.125,20.125,
A,Heliophila minima,3421BA,34.125,21.625,
A,Heliophila minima,3421BC,34.375,21.625,
A,Heliophila namaquana,2817CB,28.625,17.375,
A,Heliophila namaquana,2917DA,29.625,17.625,
A,Heliophila namaquana,2917DB,29.625,17.875,
A,Heliophila namaquana,3017BB,30.125,17.875,
A,Heliophila namaquana,3119AC,31.375,19.125,
A,Heliophila namaquana,3119BD,31.375,19.875,
A,Heliophila namaquana,3219AA,32.125,19.125,
A,Heliophila namaquana,3219AC,32.375,19.125,
A,Heliophila namaquana,3219CB,32.625,19.375,
A,Heliophila namaquana,3319AD,33.375,19.375,
A,Heliophila namaquana,3322AD,33.375,22.375,
P,Heliophila nubigena,3318DD,33.875,18.875,
P,Heliophila nubigena,3319AA,33.125,19.125,
P,Heliophila nubigena,3319AB,33.125,19.375,
P,Heliophila nubigena,3319AC,33.375,19.125,
P,Heliophila nubigena,3319AD,33.375,19.375,
P,Heliophila nubigena,3319CB,33.625,19.375,
P,Heliophila nubigena,3319CC,33.875,19.125,
P,Heliophila nubigena,3319DA,33.625,19.625,
P,Heliophila nubigena,3321AC,33.375,21.125,
A,Heliophila pectinata,3119DD,31.875,19.875,
A,Heliophila pectinata,3120BC,31.375,20.625,
A,Heliophila pectinata,3121CD,31.875,21.375,
A,Heliophila pectinata,3220AA,32.125,20.125,
A,Heliophila pectinata,3220AD,32.375,20.375,
A,Heliophila pectinata,3220BC,32.375,20.625,
A,Heliophila pectinata,3220CB,32.625,20.375,
A,Heliophila pectinata,3220DA,32.625,20.625,
A,Heliophila pectinata,3220DB,32.625,20.875,
A,Heliophila pectinata,3220DC,32.875,20.625,
A,Heliophila pectinata,3221AA,32.125,21.125,
A,Heliophila pectinata,3318BC,33.375,18.625,
A,Heliophila pectinata,3319DB,33.625,19.875,
A,Heliophila pectinata,3319DC,33.875,19.625,
A,Heliophila pectinata,3320BA,33.125,20.625,
A,Heliophila pectinata,3320CA,33.625,20.125,
A,Heliophila pectinata,3320CD,33.875,20.375,
A,Heliophila pectinata,3320DC,33.875,20.625,
A,Heliophila pectinata,3321CB,33.625,21.375,
A,Heliophila pectinata,3321CD,33.875,21.375,
A,Heliophila pectinata,3322AD,33.375,22.375,
A,Heliophila pectinata,3322DA,33.625,22.625,
A,Heliophila pectinata,3323CA,33.625,23.125,
P,Heliophila polygaloides,3219DC,32.875,19.625,
P,Heliophila polygaloides,3319AB,33.125,19.375,
P,Heliophila polygaloides,3319BA,33.125,19.625,
A,Heliophila pubescens,3119BC,31.375,19.625,
A,Heliophila pubescens,3119BD,31.375,19.875,
A,Heliophila pubescens,3119DD,31.875,19.875,
A,Heliophila pubescens,3120AA,31.125,20.125,
A,Heliophila pubescens,3120CA,31.625,20.125,
A,Heliophila pubescens,3220AA,32.125,20.125,
A,Heliophila pubescens,3220BC,32.375,20.625,
A,Heliophila pubescens,3220DB,32.625,20.875,
A,Heliophila pubescens,3221CA,32.625,21.125,
A,Heliophila pubescens,3319AD,33.375,19.375,
A,Heliophila pubescens,3322AD,33.375,22.375,
A,Heliophila pusilla,2926AA,29.125,26.125,
A,Heliophila pusilla,3118CB,31.625,18.375,
A,Heliophila pusilla,3123CA,31.625,23.125,
A,Heliophila pusilla,3218CB,32.625,18.375,
A,Heliophila pusilla,3318BC,33.375,18.625,
A,Heliophila pusilla,3318CD,33.875,18.375,
A,Heliophila pusilla,3318DA,33.625,18.625,
A,Heliophila pusilla,3318DB,33.625,18.875,
A,Heliophila pusilla,3318DC,33.875,18.625,
A,Heliophila pusilla,3318DD,33.875,18.875,
A,Heliophila pusilla,3322CD,33.875,22.375,
A,Heliophila pusilla,3418AB,34.125,18.375,
A,Heliophila pusilla,3418BA,34.125,18.625,
A,Heliophila pusilla,3418BB,34.125,18.875,
A,Heliophila pusilla,3419AB,34.125,19.375,
A,Heliophila pusilla,3419BA,34.125,19.625,
A,Heliophila pusilla,3419BC,34.375,19.625,
A,Heliophila pusilla,3419DA,34.625,19.625,
A,Heliophila pusilla,3419DC,34.875,19.625,
A,Heliophila pusilla,3420AA,34.125,20.125,
A,Heliophila pusilla,3420AB,34.125,20.375,
A,Heliophila pusilla,3420AD,34.375,20.375,
A,Heliophila pusilla,3420BC,34.375,20.625,
A,Heliophila pusilla,3420CA,34.625,20.125,
A,Heliophila pusilla,3420CC,34.875,20.125,
A,Heliophila pusilla,3421AD,34.375,21.375,
P,Heliophila rigidiuscula,2430AA,24.125,30.125,
P,Heliophila rigidiuscula,2430AD,24.375,30.375,
P,Heliophila rigidiuscula,2430CA,24.625,30.125,
P,Heliophila rigidiuscula,2430DB,24.625,30.875,
P,Heliophila rigidiuscula,2430DC,24.875,30.625,
P,Heliophila rigidiuscula,2527CA,25.625,27.125,
P,Heliophila rigidiuscula,2528CA,25.625,28.125,
P,Heliophila rigidiuscula,2528CB,25.625,28.375,
P,Heliophila rigidiuscula,2529CC,25.875,29.125,
P,Heliophila rigidiuscula,2529CD,25.875,29.375,
P,Heliophila rigidiuscula,2529DB,25.625,29.875,
P,Heliophila rigidiuscula,2530AB,25.125,30.375,
P,Heliophila rigidiuscula,2530AC,25.375,30.125,
P,Heliophila rigidiuscula,2530AD,25.375,30.375,
P,Heliophila rigidiuscula,2530BA,25.125,30.625,
P,Heliophila rigidiuscula,2530BD,25.375,30.875,
P,Heliophila rigidiuscula,2530CA,25.625,30.125,
P,Heliophila rigidiuscula,2530CB,25.625,30.375,
P,Heliophila rigidiuscula,2531CC,25.875,31.125,
P,Heliophila rigidiuscula,2627BB,26.125,27.875,
P,Heliophila rigidiuscula,2627CB,26.625,27.375,
P,Heliophila rigidiuscula,2628AA,26.125,28.125,
P,Heliophila rigidiuscula,2628AD,26.375,28.375,
P,Heliophila rigidiuscula,2630AA,26.125,30.125,
P,Heliophila rigidiuscula,2630BB,26.125,30.875,
P,Heliophila rigidiuscula,2630CA,26.625,30.125,
P,Heliophila rigidiuscula,2631AA,26.125,31.125,
P,Heliophila rigidiuscula,2729BD,27.375,29.875,
P,Heliophila rigidiuscula,2729DC,27.875,29.625,
P,Heliophila rigidiuscula,2730AD,27.375,30.375,
P,Heliophila rigidiuscula,2730BB,27.125,30.875,
P,Heliophila rigidiuscula,2731CD,27.875,31.375,
P,Heliophila rigidiuscula,2828DA,28.625,28.625,
P,Heliophila rigidiuscula,2828DB,28.625,28.875,
P,Heliophila rigidiuscula,2828DD,28.875,28.875,
P,Heliophila rigidiuscula,2829AC,28.375,29.125,
P,Heliophila rigidiuscula,2829BD,28.375,29.875,
P,Heliophila rigidiuscula,2829CA,28.625,29.125,
P,Heliophila rigidiuscula,2829CB,28.625,29.375,
P,Heliophila rigidiuscula,2829CC,28.875,29.125,
P,Heliophila rigidiuscula,2829DC,28.875,29.625,
P,Heliophila rigidiuscula,2830AA,28.125,30.125,
P,Heliophila rigidiuscula,2831CA,28.625,31.125,
P,Heliophila rigidiuscula,2929AB,29.125,29.375,
P,Heliophila rigidiuscula,2929BB,29.125,29.875,
P,Heliophila rigidiuscula,2929BD,29.375,29.875,
P,Heliophila rigidiuscula,2929CA,29.625,29.125,
P,Heliophila rigidiuscula,2929CB,29.625,29.375,
P,Heliophila rigidiuscula,2929CC,29.875,29.125,
P,Heliophila rigidiuscula,2930AC,29.375,30.125,
P,Heliophila rigidiuscula,2930BA,29.125,30.625,
P,Heliophila rigidiuscula,2930CB,29.625,30.375,
P,Heliophila rigidiuscula,2930DA,29.625,30.625,
P,Heliophila rigidiuscula,2930DC,29.875,30.625,
P,Heliophila rigidiuscula,2930DD,29.875,30.875,
P,Heliophila rigidiuscula,2931AA,29.125,31.125,
P,Heliophila rigidiuscula,2931AD,29.375,31.375,
P,Heliophila rigidiuscula,3027CB,30.625,27.375,
P,Heliophila rigidiuscula,3029AB,30.125,29.375,
P,Heliophila rigidiuscula,3029AD,30.375,29.375,
P,Heliophila rigidiuscula,3029CB,30.625,29.375,
P,Heliophila rigidiuscula,3029DA,30.625,29.625,
P,Heliophila rigidiuscula,3029DB,30.625,29.875,
P,Heliophila rigidiuscula,3030AD,30.375,30.375,
P,Heliophila rigidiuscula,3030CA,30.625,30.125,
P,Heliophila rigidiuscula,3030CB,30.625,30.375,
P,Heliophila rigidiuscula,3030CC,30.875,30.125,
P,Heliophila rigidiuscula,3126DD,31.875,26.875,
P,Heliophila rigidiuscula,3127BA,31.125,27.625,
P,Heliophila rigidiuscula,3128CA,31.625,28.125,
P,Heliophila rigidiuscula,3129AB,31.125,29.375,
P,Heliophila rigidiuscula,3129BB,31.125,29.875,
P,Heliophila rigidiuscula,3129BC,31.375,29.625,
P,Heliophila rigidiuscula,3129BD,31.375,29.875,
P,Heliophila rigidiuscula,3226AD,32.375,26.375,
P,Heliophila rigidiuscula,3226DA,32.625,26.625,
P,Heliophila rigidiuscula,3226DB,32.625,26.875,
P,Heliophila rigidiuscula,3227DB,32.625,27.875,
P,Heliophila rigidiuscula,3325BC,33.375,25.625,
P,Heliophila rigidiuscula,3327AD,33.375,27.375,
P,Heliophila scoparia,3118DB,31.625,18.875,
P,Heliophila scoparia,3119AC,31.375,19.125,
P,Heliophila scoparia,3218BB,32.125,18.875,
P,Heliophila scoparia,3218BD,32.375,18.875,
P,Heliophila scoparia,3218DB,32.625,18.875,
P,Heliophila scoparia,3219AA,32.125,19.125,
P,Heliophila scoparia,3219AC,32.375,19.125,
P,Heliophila scoparia,3219CA,32.625,19.125,
P,Heliophila scoparia,3318BD,33.375,18.875,
P,Heliophila scoparia,3318CD,33.875,18.375,
P,Heliophila scoparia,3318CD,33.875,18.375,
P,Heliophila scoparia,3318DB,33.625,18.875,
P,Heliophila scoparia,3318DD,33.875,18.875,
P,Heliophila scoparia,3318DD,33.875,18.875,
P,Heliophila scoparia,3319AC,33.375,19.125,
P,Heliophila scoparia,3319AC,33.375,19.125,
P,Heliophila scoparia,3319AD,33.375,19.375,
P,Heliophila scoparia,3319BA,33.125,19.625,
P,Heliophila scoparia,3319BC,33.375,19.625,
P,Heliophila scoparia,3319CA,33.625,19.125,
P,Heliophila scoparia,3319CB,33.625,19.375,
P,Heliophila scoparia,3319CC,33.875,19.125,
P,Heliophila scoparia,3319CD,33.875,19.375,
P,Heliophila scoparia,3319DA,33.625,19.625,
P,Heliophila scoparia,3319DC,33.875,19.625,
P,Heliophila scoparia,3319DD,33.875,19.875,
P,Heliophila scoparia,3321DB,33.625,21.875,
P,Heliophila scoparia,3322AC,33.375,22.125,
P,Heliophila scoparia,3418AB,34.125,18.375,
P,Heliophila scoparia,3418BB,34.125,18.875,
P,Heliophila scoparia,3418BD,34.375,18.875,
P,Heliophila scoparia,3419AA,34.125,19.125,
P,Heliophila scoparia,3419AD,34.375,19.375,
P,Heliophila scoparia,3419BB,34.125,19.875,
P,Heliophila scoparia,3420AA,34.125,20.125,
P,Heliophila scoparia,3420AB,34.125,20.375,
P,Heliophila scoparia,3420BC,34.375,20.625,
P,Heliophila scoparia,3420CA,34.625,20.125,
A,Heliophila seselifolia,2817DD,28.875,17.875,
A,Heliophila seselifolia,2820CC,28.875,20.125,
A,Heliophila seselifolia,2820DC,28.875,20.625,
A,Heliophila seselifolia,2917BA,29.125,17.625,
A,Heliophila seselifolia,2917BD,29.375,17.875,
A,Heliophila seselifolia,2917CC,29.875,17.125,
A,Heliophila seselifolia,2917DA,29.625,17.625,
A,Heliophila seselifolia,2917DB,29.625,17.875,
A,Heliophila seselifolia,2918CA,29.625,18.125,
A,Heliophila seselifolia,2920AD,29.375,20.375,
A,Heliophila seselifolia,3017AB,30.125,17.375,
A,Heliophila seselifolia,3018AD,30.375,18.375,
A,Heliophila seselifolia,3018CB,30.625,18.375,
A,Heliophila seselifolia,3019DB,30.625,19.875,
A,Heliophila seselifolia,3019DC,30.875,19.625,
A,Heliophila seselifolia,3020CC,30.875,20.125,
A,Heliophila seselifolia,3020CD,30.875,20.375,
A,Heliophila seselifolia,3020DA,30.625,20.625,
A,Heliophila seselifolia,3020DC,30.875,20.625,
A,Heliophila seselifolia,3021AC,30.375,21.125,
A,Heliophila seselifolia,3118BB,31.125,18.875,
A,Heliophila seselifolia,3119BB,31.125,19.875,
A,Heliophila seselifolia,3119BC,31.375,19.625,
A,Heliophila seselifolia,3119BD,31.375,19.875,
A,Heliophila seselifolia,3119CC,31.875,19.125,
A,Heliophila seselifolia,3119DD,31.875,19.875,
A,Heliophila seselifolia,3120BD,31.375,20.875,
A,Heliophila seselifolia,3120CC,31.875,20.125,
A,Heliophila seselifolia,3120DD,31.875,20.875,
A,Heliophila seselifolia,3121CD,31.875,21.375,
A,Heliophila seselifolia,3219BA,32.125,19.625,
A,Heliophila seselifolia,3219BC,32.375,19.625,
A,Heliophila seselifolia,3219DC,32.875,19.625,
A,Heliophila seselifolia,3220AA,32.125,20.125,
A,Heliophila seselifolia,3220BC,32.375,20.625,
A,Heliophila seselifolia,3220BC,32.375,20.625,
A,Heliophila seselifolia,3220BD,32.375,20.875,
A,Heliophila seselifolia,3220DA,32.625,20.625,
A,Heliophila seselifolia,3220DB,32.625,20.875,
A,Heliophila seselifolia,3220DC,32.875,20.625,
A,Heliophila seselifolia,3221BA,32.125,21.625,
A,Heliophila seselifolia,3221CA,32.625,21.125,
A,Heliophila seselifolia,3320BB,33.125,20.875,
P,Heliophila suavissima,2626BD,26.375,26.875,
P,Heliophila suavissima,2723CB,27.625,23.375,
P,Heliophila suavissima,2723DC,27.875,23.625,
P,Heliophila suavissima,2730AC,27.375,30.125,
P,Heliophila suavissima,2823AD,28.375,23.375,
P,Heliophila suavissima,2823BA,28.125,23.625,
P,Heliophila suavissima,2826CD,28.875,26.375,
P,Heliophila suavissima,2826DC,28.875,26.625,
P,Heliophila suavissima,2827CC,28.875,27.125,
P,Heliophila suavissima,2828DA,28.625,28.625,
P,Heliophila suavissima,2921BD,29.375,21.875,
P,Heliophila suavissima,2922DC,29.875,22.625,
P,Heliophila suavissima,2925CA,29.625,25.125,
P,Heliophila suavissima,2925CB,29.625,25.375,
P,Heliophila suavissima,2926AA,29.125,26.125,
P,Heliophila suavissima,2926BB,29.125,26.875,
P,Heliophila suavissima,2927AB,29.125,27.375,
P,Heliophila suavissima,3022BC,30.375,22.625,
P,Heliophila suavissima,3023AA,30.125,23.125,
P,Heliophila suavissima,3023AD,30.375,23.375,
P,Heliophila suavissima,3023DA,30.625,23.625,
P,Heliophila suavissima,3024CA,30.625,24.125,
P,Heliophila suavissima,3024CD,30.875,24.375,
P,Heliophila suavissima,3024DB,30.625,24.875,
P,Heliophila suavissima,3024DC,30.875,24.625,
P,Heliophila suavissima,3024DD,30.875,24.875,
P,Heliophila suavissima,3025AD,30.375,25.375,
P,Heliophila suavissima,3025BA,30.125,25.625,
P,Heliophila suavissima,3025BD,30.375,25.875,
P,Heliophila suavissima,3025CA,30.625,25.125,
P,Heliophila suavissima,3025CB,30.625,25.375,
P,Heliophila suavissima,3025DA,30.625,25.625,
P,Heliophila suavissima,3026CA,30.625,26.125,
P,Heliophila suavissima,3028CA,30.625,28.125,
P,Heliophila suavissima,3121AB,31.125,21.375,
P,Heliophila suavissima,3121AC,31.375,21.125,
P,Heliophila suavissima,3121BB,31.125,21.875,
P,Heliophila suavissima,3121DC,31.875,21.625,
P,Heliophila suavissima,3121DD,31.875,21.875,
P,Heliophila suavissima,3122AA,31.125,22.125,
P,Heliophila suavissima,3122AD,31.375,22.375,
P,Heliophila suavissima,3122BD,31.375,22.875,
P,Heliophila suavissima,3122CA,31.625,22.125,
P,Heliophila suavissima,3122DB,31.625,22.875,
P,Heliophila suavissima,3122DC,31.875,22.625,
P,Heliophila suavissima,3122DD,31.875,22.875,
P,Heliophila suavissima,3123AC,31.375,23.125,
P,Heliophila suavissima,3123AD,31.375,23.375,
P,Heliophila suavissima,3123BC,31.375,23.625,
P,Heliophila suavissima,3123BD,31.375,23.875,
P,Heliophila suavissima,3123CA,31.625,23.125,
P,Heliophila suavissima,3123CB,31.625,23.375,
P,Heliophila suavissima,3123DB,31.625,23.875,
P,Heliophila suavissima,3123DC,31.875,23.625,
P,Heliophila suavissima,3124AC,31.375,24.125,
P,Heliophila suavissima,3124AD,31.375,24.375,
P,Heliophila suavissima,3124BC,31.375,24.625,
P,Heliophila suavissima,3124BD,31.375,24.875,
P,Heliophila suavissima,3124CA,31.625,24.125,
P,Heliophila suavissima,3124CB,31.625,24.375,
P,Heliophila suavissima,3124DA,31.625,24.625,
P,Heliophila suavissima,3124DB,31.625,24.875,
P,Heliophila suavissima,3124DC,31.875,24.625,
P,Heliophila suavissima,3124DD,31.875,24.875,
P,Heliophila suavissima,3125AA,31.125,25.125,
P,Heliophila suavissima,3125AB,31.125,25.375,
P,Heliophila suavissima,3125AC,31.375,25.125,
P,Heliophila suavissima,3125AD,31.375,25.375,
P,Heliophila suavissima,3125BB,31.125,25.875,
P,Heliophila suavissima,3125CA,31.625,25.125,
P,Heliophila suavissima,3125CB,31.625,25.375,
P,Heliophila suavissima,3125CC,31.875,25.125,
P,Heliophila suavissima,3125CD,31.875,25.375,
P,Heliophila suavissima,3125DA,31.625,25.625,
P,Heliophila suavissima,3125DC,31.875,25.625,
P,Heliophila suavissima,3125DD,31.875,25.875,
P,Heliophila suavissima,3126AC,31.375,26.125,
P,Heliophila suavissima,3126BA,31.125,26.625,
P,Heliophila suavissima,3126BC,31.375,26.625,
P,Heliophila suavissima,3126CC,31.875,26.125,
P,Heliophila suavissima,3126DD,31.875,26.875,
P,Heliophila suavissima,3218BB,32.125,18.875,
P,Heliophila suavissima,3220BC,32.375,20.625,
P,Heliophila suavissima,3220DB,32.625,20.875,
P,Heliophila suavissima,3221BA,32.125,21.625,
P,Heliophila suavissima,3221BB,32.125,21.875,
P,Heliophila suavissima,3221BD,32.375,21.875,
P,Heliophila suavissima,3221CC,32.875,21.125,
P,Heliophila suavissima,3221DC,32.875,21.625,
P,Heliophila suavissima,3222AA,32.125,22.125,
P,Heliophila suavissima,3222AB,32.125,22.375,
P,Heliophila suavissima,3222AD,32.375,22.375,
P,Heliophila suavissima,3222BA,32.125,22.625,
P,Heliophila suavissima,3222BB,32.125,22.875,
P,Heliophila suavissima,3222BD,32.375,22.875,
P,Heliophila suavissima,3222DA,32.625,22.625,
P,Heliophila suavissima,3222DB,32.625,22.875,
P,Heliophila suavissima,3223AA,32.125,23.125,
P,Heliophila suavissima,3223BA,32.125,23.625,
P,Heliophila suavissima,3223BB,32.125,23.875,
P,Heliophila suavissima,3223CA,32.625,23.125,
P,Heliophila suavissima,3223CD,32.875,23.375,
P,Heliophila suavissima,3224AA,32.125,24.125,
P,Heliophila suavissima,3224AB,32.125,24.375,
P,Heliophila suavissima,3224AD,32.375,24.375,
P,Heliophila suavissima,3224BA,32.125,24.625,
P,Heliophila suavissima,3224BC,32.375,24.625,
P,Heliophila suavissima,3224CA,32.625,24.125,
P,Heliophila suavissima,3224CB,32.625,24.375,
P,Heliophila suavissima,3224CD,32.875,24.375,
P,Heliophila suavissima,3224DA,32.625,24.625,
P,Heliophila suavissima,3224DB,32.625,24.875,
P,Heliophila suavissima,3224DC,32.875,24.625,
P,Heliophila suavissima,3225AA,32.125,25.125,
P,Heliophila suavissima,3225AB,32.125,25.375,
P,Heliophila suavissima,3225AC,32.375,25.125,
P,Heliophila suavissima,3225AD,32.375,25.375,
P,Heliophila suavissima,3225BA,32.125,25.625,
P,Heliophila suavissima,3225BC,32.375,25.625,
P,Heliophila suavissima,3225CA,32.625,25.125,
P,Heliophila suavissima,3225CC,32.875,25.125,
P,Heliophila suavissima,3226CA,32.625,26.125,
P,Heliophila suavissima,3318DC,33.875,18.625,
P,Heliophila suavissima,3319DB,33.625,19.875,
P,Heliophila suavissima,3319DC,33.875,19.625,
P,Heliophila suavissima,3319DD,33.875,19.875,
P,Heliophila suavissima,3320DC,33.875,20.625,
P,Heliophila suavissima,3321BC,33.375,21.625,
P,Heliophila suavissima,3321CC,33.875,21.125,
P,Heliophila suavissima,3321DA,33.625,21.625,
P,Heliophila suavissima,3321DB,33.625,21.875,
P,Heliophila suavissima,3322AB,33.125,22.375,
P,Heliophila suavissima,3322AC,33.375,22.125,
P,Heliophila suavissima,3322AD,33.375,22.375,
P,Heliophila suavissima,3322BB,33.125,22.875,
P,Heliophila suavissima,3322BC,33.375,22.625,
P,Heliophila suavissima,3322CD,33.875,22.375,
P,Heliophila suavissima,3322DB,33.625,22.875,
P,Heliophila suavissima,3322DC,33.875,22.625,
P,Heliophila suavissima,3323AB,33.125,23.375,
P,Heliophila suavissima,3323AC,33.375,23.125,
P,Heliophila suavissima,3323BD,33.375,23.875,
P,Heliophila suavissima,3323CC,33.875,23.125,
P,Heliophila suavissima,3323DB,33.625,23.875,
P,Heliophila suavissima,3324AB,33.125,24.375,
P,Heliophila suavissima,3324AC,33.375,24.125,
P,Heliophila suavissima,3324BA,33.125,24.625,
P,Heliophila suavissima,3324BB,33.125,24.875,
P,Heliophila suavissima,3324BC,33.375,24.625,
P,Heliophila suavissima,3324CD,33.875,24.375,
P,Heliophila suavissima,3324DD,33.875,24.875,
P,Heliophila suavissima,3325BA,33.125,25.625,
P,Heliophila suavissima,3325BB,33.125,25.875,
P,Heliophila suavissima,3325BD,33.375,25.875,
P,Heliophila suavissima,3325CC,33.875,25.125,
P,Heliophila suavissima,3325CD,33.875,25.375,
P,Heliophila suavissima,3325DA,33.625,25.625,
P,Heliophila suavissima,3325DC,33.875,25.625,
P,Heliophila suavissima,3326AB,33.125,26.375,
P,Heliophila suavissima,3326BA,33.125,26.625,
P,Heliophila suavissima,3326BB,33.125,26.875,
P,Heliophila suavissima,3326BC,33.375,26.625,
P,Heliophila suavissima,3326BD,33.375,26.875,
P,Heliophila suavissima,3326DA,33.625,26.625,
P,Heliophila suavissima,3327BA,33.125,27.625,
P,Heliophila suavissima,3419BC,34.375,19.625,
P,Heliophila suavissima,3420AB,34.125,20.375,
P,Heliophila suavissima,3421AB,34.125,21.375,
P,Heliophila suavissima,3421AC,34.375,21.125,
P,Heliophila suavissima,3421AD,34.375,21.375,
P,Heliophila suavissima,3421BB,34.125,21.875,
P,Heliophila suavissima,3421BC,34.375,21.625,
P,Heliophila suavissima,3422AA,34.125,22.125,
P,Heliophila suavissima,3423AB,34.125,23.375,
P,Heliophila suavissima,3424BA,34.125,24.625,
P,Heliophila subulata,2831AD,28.375,31.375,
P,Heliophila subulata,2832AB,28.125,32.375,
P,Heliophila subulata,2832CC,28.875,32.125,
P,Heliophila subulata,2931CA,29.625,31.125,
P,Heliophila subulata,3030BB,30.125,30.875,
P,Heliophila subulata,3030BC,30.375,30.625,
P,Heliophila subulata,3124DD,31.875,24.875,
P,Heliophila subulata,3128AD,31.375,28.375,
P,Heliophila subulata,3129AA,31.125,29.125,
P,Heliophila subulata,3130AA,31.125,30.125,
P,Heliophila subulata,3219CC,32.875,19.125,
P,Heliophila subulata,3228BC,32.375,28.625,
P,Heliophila subulata,3228BD,32.375,28.875,
P,Heliophila subulata,3228CB,32.625,28.375,
P,Heliophila subulata,3228CC,32.875,28.125,
P,Heliophila subulata,3319AA,33.125,19.125,
P,Heliophila subulata,3319CA,33.625,19.125,
P,Heliophila subulata,3319DD,33.875,19.875,
P,Heliophila subulata,3320AD,33.375,20.375,
P,Heliophila subulata,3320BC,33.375,20.625,
P,Heliophila subulata,3320CC,33.875,20.125,
P,Heliophila subulata,3320DC,33.875,20.625,
P,Heliophila subulata,3321DA,33.625,21.625,
P,Heliophila subulata,3322AC,33.375,22.125,
P,Heliophila subulata,3322CD,33.875,22.375,
P,Heliophila subulata,3322DA,33.625,22.625,
P,Heliophila subulata,3322DB,33.625,22.875,
P,Heliophila subulata,3322DC,33.875,22.625,
P,Heliophila subulata,3323AD,33.375,23.375,
P,Heliophila subulata,3323CA,33.625,23.125,
P,Heliophila subulata,3323CC,33.875,23.125,
P,Heliophila subulata,3323DC,33.875,23.625,
P,Heliophila subulata,3324DD,33.875,24.875,
P,Heliophila subulata,3325CC,33.875,25.125,
P,Heliophila subulata,3325CD,33.875,25.375,
P,Heliophila subulata,3325DC,33.875,25.625,
P,Heliophila subulata,3326AC,33.375,26.125,
P,Heliophila subulata,3326CB,33.625,26.375,
P,Heliophila subulata,3326DA,33.625,26.625,
P,Heliophila subulata,3326DB,33.625,26.875,
P,Heliophila subulata,3327AC,33.375,27.125,
P,Heliophila subulata,3327BB,33.125,27.875,
P,Heliophila subulata,3327CA,33.625,27.125,
P,Heliophila subulata,3419AA,34.125,19.125,
P,Heliophila subulata,3419AB,34.125,19.375,
P,Heliophila subulata,3419AC,34.375,19.125,
P,Heliophila subulata,3419AD,34.375,19.375,
P,Heliophila subulata,3419DA,34.625,19.625,
P,Heliophila subulata,3419DB,34.625,19.875,
P,Heliophila subulata,3420AA,34.125,20.125,
P,Heliophila subulata,3420AB,34.125,20.375,
P,Heliophila subulata,3420AD,34.375,20.375,
P,Heliophila subulata,3420BA,34.125,20.625,
P,Heliophila subulata,3420BC,34.375,20.625,
P,Heliophila subulata,3420CA,34.625,20.125,
P,Heliophila subulata,3421AA,34.125,21.125,
P,Heliophila subulata,3421AB,34.125,21.375,
P,Heliophila subulata,3421AC11,34.37511,21.12511,
P,Heliophila subulata,3421AC13,34.37513,21.12513,
P,Heliophila subulata,3421AD,34.375,21.375,
P,Heliophila subulata,3421BA,34.125,21.625,
P,Heliophila subulata,3422AA,34.125,22.125,
P,Heliophila subulata,3422AB,34.125,22.375,
P,Heliophila subulata,3422BB,34.125,22.875,
P,Heliophila subulata,3423AA,34.125,23.125,
P,Heliophila subulata,3423AB,34.125,23.375,
P,Heliophila subulata,3424BB,34.125,24.875,
P,Heliophila tricuspidata,3319CD,33.875,19.375,
P,Heliophila tricuspidata,3319DC,33.875,19.625,
P,Heliophila tricuspidata,3419BA,34.125,19.625,
P,Heliophila tricuspidata,3419BB,34.125,19.875,
A,Heliophila trifurca,2816BB,28.125,16.875,
A,Heliophila trifurca,2816BD,28.375,16.875,
A,Heliophila trifurca,2816DA,28.625,16.625,
A,Heliophila trifurca,2816DD,28.875,16.875,
A,Heliophila trifurca,2817AA,28.125,17.125,
A,Heliophila trifurca,2817AC,28.375,17.125,
A,Heliophila trifurca,2817CA,28.625,17.125,
A,Heliophila trifurca,2817CB,28.625,17.375,
A,Heliophila trifurca,2817DD,28.875,17.875,
A,Heliophila trifurca,2818CD,28.875,18.375,
A,Heliophila trifurca,2818DC,28.875,18.625,
A,Heliophila trifurca,2819DB,28.625,19.875,
A,Heliophila trifurca,2820AC,28.375,20.125,
A,Heliophila trifurca,2820CA,28.625,20.125,
A,Heliophila trifurca,2820CD,28.875,20.375,
A,Heliophila trifurca,2820DC,28.875,20.625,
A,Heliophila trifurca,2821CA,28.625,21.125,
A,Heliophila trifurca,2821DD,28.875,21.875,
A,Heliophila trifurca,2822BA,28.125,22.625,
A,Heliophila trifurca,2822CC,28.875,22.125,
A,Heliophila trifurca,2823AC,28.375,23.125,
A,Heliophila trifurca,2916BB,29.125,16.875,
A,Heliophila trifurca,2917BB,29.125,17.875,
A,Heliophila trifurca,2918BA,29.125,18.625,
A,Heliophila trifurca,2918BB,29.125,18.875,
A,Heliophila trifurca,2919AA,29.125,19.125,
A,Heliophila trifurca,2919AB,29.125,19.375,
